Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9231.489999999998,110777.88,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),"Web Servers (default: 3 instances, peak: 6 instances)",Amazon EC2 ,0,352.58998099999997,4231.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 3, Peak: 6, Duration of peak: 8 Hr 0 Min)), Advance EC2 instance (m5.xlarge), Pricing strategy ( 3 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),"Application Servers (default: 3 instances, peak: 6 instances)",Amazon EC2 ,0,352.58998099999997,4231.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 3, Peak: 6, Duration of peak: 8 Hr 0 Min)), Advance EC2 instance (m5.xlarge), Pricing strategy ( 3 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),Database (1 MasterDB and 1 ReadReplica),Amazon RDS for PostgreSQL,0,4091.666,49099.99,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB), Nodes (2), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Additional backup storage (5 TB)"
Initial_Cost_Estimate,US East (N. Virginia),Application Load Balancers (2 load balancers),Application Load Balancer,0,50.370000000000005,604.44,USD,,Number of Application Load Balancers (2)
Initial_Cost_Estimate,US East (N. Virginia),NAT Gateways (2 instances + Data Transfer by NAT),Network Address Translation (NAT) Gateway,0,157.86,1894.32,USD,,Number of NAT Gateways (2)
Initial_Cost_Estimate,US East (N. Virginia),NAT Gateways (2 instances + Data Transfer by NAT),Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),S3 Storage,S3 Standard,0,353.28,4239.36,USD,,S3 Standard storage (15 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),S3 Storage,S3 Glacier Flexible Retrieval,0,444.61,5335.32,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0), S3 Glacier Flexible Retrieval storage (120 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),S3 Storage,S3 Glacier Instant Retrieval,0,184.32,2211.84,USD,,S3 Glacier Instant Retrieval storage (45 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),CloudFront and Data Transfer,Amazon CloudFront,0,3061.2,36734.40,USD,,"Data transfer out to internet (30 TB per month), Data transfer out to origin (5 TB per month), Number of requests (HTTPS) (450000000 per month)"
Initial_Cost_Estimate,US East (N. Virginia),Route 53,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
